molecule_chembl_id,canonical_smiles,standard_value
CHEMBL216504,O=C(Nc1cccc(C(=O)Nc2ccc(S(=O)(=O)[O-])c3cc(S(=O)(=O)[O-])cc(S(=O)(=O)[O-])c23)c1)Nc1cccc(C(=O)Nc2ccc(S(=O)(=O)[O-])c3cc(S(=O)(=O)[O-])cc(S(=O)(=O)[O-])c23)c1.[Na+].[Na+].[Na+].[Na+].[Na+].[Na+],100000.0
CHEMBL69234,Cc1nc(/N=N/c2ccc(S(=O)(=O)O)cc2S(=O)(=O)O)c(COP(=O)(O)O)c(C=O)c1O,27500.0
CHEMBL413145,O=C(Nc1cccc(C(=O)Nc2cc(C(=O)Nc3ccc(S(=O)(=O)[O-])c4cc(S(=O)(=O)[O-])cc(S(=O)(=O)[O-])c34)ccc2F)c1)Nc1cccc(C(=O)Nc2cc(C(=O)Nc3ccc(S(=O)(=O)[O-])c4cc(S(=O)(=O)[O-])cc(S(=O)(=O)[O-])c34)ccc2F)c1.[Na+].[Na+].[Na+].[Na+].[Na+].[Na+],1000.0
CHEMBL494161,COc1cc(C(C)C)c(Oc2cnc(NC(CO)CO)nc2N)cc1I,10000.0
CHEMBL526307,COc1cc(C(C)C)c(Oc2cnc(N)nc2N)cc1I,10000.0
CHEMBL605325,CCCc1nc(-c2ccccc2)oc1C(=O)NC(C)CN1CCN(c2ncccn2)CC1,10000.0
CHEMBL599760,CC(=O)N1CCN(C[C@@H](C)NC(=O)c2cc3c(-c4ccccc4)nn(C)c3s2)CC1,10000.0
CHEMBL2180157,O=C(Nc1ccccc1OCCOc1ccccc1NC(=O)c1ccccc1)c1ccccc1,10000.0
CHEMBL2180156,CC(C)[C@@H]1CC[C@@H](C)C[C@H]1OCC(=O)Nc1ccccc1OCCBr,10000.0
CHEMBL2180155,O=C(OCc1ccccc1)N1CCOc2ccccc21,10000.0
CHEMBL2180154,O=C(c1ccccc1)N1CCOc2ccccc21,10000.0
CHEMBL2180153,O=C(N1CCOCC1)N1CCOc2ccccc21,10000.0
CHEMBL2180152,O=C(Nc1ccccc1O)OCc1ccccc1,10000.0
CHEMBL2180151,CC(C)[C@@H]1CC[C@@H](C)C[C@H]1OCC(=O)Nc1ccccc1O,3390.0
CHEMBL229357,O=C(Nc1ccccc1O)c1ccccc1,10000.0
CHEMBL2180150,O=C(Nc1ccccc1O)N1CCOCC1,10000.0
CHEMBL2180149,OC1(c2ccccc2)c2ccccc2N(Cc2ccccc2)c2ccccc21,2440.0
CHEMBL2180148,O=c1c2ccccc2n(Cc2ccc([N+](=O)[O-])cc2)c2ccccc12,2490.0
CHEMBL2180147,Cc1ccc(Cn2c3ccccc3c(=O)c3ccccc32)cc1,11800.0
CHEMBL484675,COc1ccc(Cn2c3ccccc3c(=O)c3ccccc32)cc1,10300.0
CHEMBL451082,O=c1c2ccccc2n(Cc2ccccc2)c2ccccc12,5970.0
CHEMBL2180146,CCN(CC)C(=O)n1c2ccccc2c(=O)c2ccccc21,39100.0
CHEMBL2180145,O=C(c1ccccc1)n1c2ccccc2c(=O)c2ccccc21,26900.0
CHEMBL2180144,Clc1c2ccccc2nc2ccccc12,10000.0
CHEMBL2180143,O=C(SCCc1ccccc1)N1c2ccccc2Oc2ccccc21,10000.0
CHEMBL2180142,O=C(OCCc1ccccc1)N1c2ccccc2Oc2ccccc21,3930.0
CHEMBL2180141,COc1ccc(COC(=O)N2c3ccccc3Oc3ccccc32)cc1,2640.0
CHEMBL2180140,O=C(OCc1ccc([N+](=O)[O-])cc1)N1c2ccccc2Oc2ccccc21,10000.0
CHEMBL2180139,O=C(OCc1ccc(Cl)cc1)N1c2ccccc2Oc2ccccc21,1020.0
CHEMBL2180138,Cc1ccc(COC(=O)N2c3ccccc3Oc3ccccc32)cc1,2280.0
CHEMBL2180137,O=C(OCc1ccccc1)N1c2ccccc2Oc2ccccc21,189.0
CHEMBL2180136,CC(C)OC(=O)N1c2ccccc2Oc2ccccc21,2350.0
CHEMBL2180135,COC(=O)N1c2ccccc2Oc2ccccc21,52300.0
CHEMBL2180178,CN1CCN(C(=O)N2c3ccccc3Oc3ccccc32)CC1,10000.0
CHEMBL2180177,O=C(N1CCCCC1)N1c2ccccc2Oc2ccccc21,10700.0
CHEMBL2180176,O=C(N1CCOCC1)N1c2ccccc2Oc2ccccc21,10000.0
CHEMBL2180175,CC(C)N(C(=O)N1c2ccccc2Oc2ccccc21)C(C)C,12400.0
CHEMBL2180174,CCCN(CCC)C(=O)N1c2ccccc2Oc2ccccc21,2690.0
CHEMBL2180173,CCN(CC)C(=O)N1c2ccccc2Oc2ccccc21,17400.0
CHEMBL2180172,CN(C)C(=O)N1c2ccccc2Oc2ccccc21,24600.0
CHEMBL2180171,O=C(NCCc1ccccc1)N1c2ccccc2Oc2ccccc21,1780.0
CHEMBL2180170,O=C(NCc1cc(Cl)cc(Cl)c1)N1c2ccccc2Oc2ccccc21,10000.0
CHEMBL2180169,O=C(NCc1ccc(Cl)cc1)N1c2ccccc2Oc2ccccc21,9540.0
CHEMBL2180168,O=C(NCc1ccccc1)N1c2ccccc2Oc2ccccc21,10000.0
CHEMBL2180167,CN1CCC(NC(=O)N2c3ccccc3Oc3ccccc32)CC1,45800.0
CHEMBL2180166,CN(C)CCCNC(=O)N1c2ccccc2Oc2ccccc21,10000.0
CHEMBL2180165,O=C(NC1CCCCC1)N1c2ccccc2Oc2ccccc21,10000.0
CHEMBL2180164,CC(C)NC(=O)N1c2ccccc2Oc2ccccc21,10000.0
CHEMBL2180163,CNC(=O)N1c2ccccc2Oc2ccccc21,10000.0
CHEMBL2180162,NC(=O)N1c2ccccc2Oc2ccccc21,10000.0
CHEMBL2180161,O=S(=O)(Cc1ccccc1)N1c2ccccc2Oc2ccccc21,10000.0
CHEMBL2180160,Cc1ccc(S(=O)(=O)N2c3ccccc3Oc3ccccc32)cc1,1380.0
CHEMBL2180159,O=C(Cc1ccccc1)N1c2ccccc2Oc2ccccc21,10000.0
CHEMBL2180158,Nc1ccc(C(=O)N2c3ccccc3Oc3ccccc32)cc1,10800.0
