IDs,canonical_smiles,pIC50,charge
CHEMBL216504,O=C(Nc1cccc(C(=O)Nc2ccc(S(=O)(=O)[O-])c3cc(S(=O)(=O)[O-])cc(S(=O)(=O)[O-])c23)c1)Nc1cccc(C(=O)Nc2ccc(S(=O)(=O)[O-])c3cc(S(=O)(=O)[O-])cc(S(=O)(=O)[O-])c23)c1.[Na+].[Na+].[Na+].[Na+].[Na+].[Na+],4.0,0
CHEMBL69234,Cc1nc(/N=N/c2ccc(S(=O)(=O)O)cc2S(=O)(=O)O)c(COP(=O)(O)O)c(C=O)c1O,4.560667306169737,0
CHEMBL413145,O=C(Nc1cccc(C(=O)Nc2cc(C(=O)Nc3ccc(S(=O)(=O)[O-])c4cc(S(=O)(=O)[O-])cc(S(=O)(=O)[O-])c34)ccc2F)c1)Nc1cccc(C(=O)Nc2cc(C(=O)Nc3ccc(S(=O)(=O)[O-])c4cc(S(=O)(=O)[O-])cc(S(=O)(=O)[O-])c34)ccc2F)c1.[Na+].[Na+].[Na+].[Na+].[Na+].[Na+],6.0,0
CHEMBL494161,COc1cc(C(C)C)c(Oc2cnc(NC(CO)CO)nc2N)cc1I,5.0,0
CHEMBL526307,COc1cc(C(C)C)c(Oc2cnc(N)nc2N)cc1I,5.0,0
CHEMBL605325,CCCc1nc(-c2ccccc2)oc1C(=O)NC(C)CN1CCN(c2ncccn2)CC1,5.0,0
CHEMBL599760,CC(=O)N1CCN(C[C@@H](C)NC(=O)c2cc3c(-c4ccccc4)nn(C)c3s2)CC1,5.0,0
CHEMBL2180157,O=C(Nc1ccccc1OCCOc1ccccc1NC(=O)c1ccccc1)c1ccccc1,5.0,0
CHEMBL2180156,CC(C)[C@@H]1CC[C@@H](C)C[C@H]1OCC(=O)Nc1ccccc1OCCBr,5.0,0
CHEMBL2180155,O=C(OCc1ccccc1)N1CCOc2ccccc21,5.0,0
CHEMBL2180154,O=C(c1ccccc1)N1CCOc2ccccc21,5.0,0
CHEMBL2180153,O=C(N1CCOCC1)N1CCOc2ccccc21,5.0,0
CHEMBL2180152,O=C(Nc1ccccc1O)OCc1ccccc1,5.0,0
CHEMBL2180151,CC(C)[C@@H]1CC[C@@H](C)C[C@H]1OCC(=O)Nc1ccccc1O,5.4698003017969175,0
CHEMBL229357,O=C(Nc1ccccc1O)c1ccccc1,5.0,0
CHEMBL2180150,O=C(Nc1ccccc1O)N1CCOCC1,5.0,0
CHEMBL2180149,OC1(c2ccccc2)c2ccccc2N(Cc2ccccc2)c2ccccc21,5.61261017366127,0
CHEMBL2180148,O=c1c2ccccc2n(Cc2ccc([N+](=O)[O-])cc2)c2ccccc12,5.603800652904264,0
CHEMBL2180147,Cc1ccc(Cn2c3ccccc3c(=O)c3ccccc32)cc1,4.928117992693875,0
CHEMBL484675,COc1ccc(Cn2c3ccccc3c(=O)c3ccccc32)cc1,4.987162775294828,0
CHEMBL451082,O=c1c2ccccc2n(Cc2ccccc2)c2ccccc12,5.224025668870631,0
CHEMBL2180146,CCN(CC)C(=O)n1c2ccccc2c(=O)c2ccccc21,4.407823242604133,0
CHEMBL2180145,O=C(c1ccccc1)n1c2ccccc2c(=O)c2ccccc21,4.570247719997592,0
CHEMBL2180144,Clc1c2ccccc2nc2ccccc12,5.0,0
CHEMBL2180143,O=C(SCCc1ccccc1)N1c2ccccc2Oc2ccccc21,5.0,0
CHEMBL2180142,O=C(OCCc1ccccc1)N1c2ccccc2Oc2ccccc21,5.405607449624573,0
CHEMBL2180141,COc1ccc(COC(=O)N2c3ccccc3Oc3ccccc32)cc1,5.578396073130169,0
CHEMBL2180140,O=C(OCc1ccc([N+](=O)[O-])cc1)N1c2ccccc2Oc2ccccc21,5.0,0
CHEMBL2180139,O=C(OCc1ccc(Cl)cc1)N1c2ccccc2Oc2ccccc21,5.991399828238083,0
CHEMBL2180138,Cc1ccc(COC(=O)N2c3ccccc3Oc3ccccc32)cc1,5.642065152999546,0
CHEMBL2180137,O=C(OCc1ccccc1)N1c2ccccc2Oc2ccccc21,6.723538195826756,0
CHEMBL2180136,CC(C)OC(=O)N1c2ccccc2Oc2ccccc21,5.628932137728264,0
CHEMBL2180135,COC(=O)N1c2ccccc2Oc2ccccc21,4.281498311132726,0
