cid,canonical_smiles,IC50
11636756,C1=CC(=CC(=C1)NC(=O)NC2=CC=CC(=C2)C(=O)NC3=C(C=CC(=C3)C(=O)NC4=C5C(=CC(=CC5=C(C=C4)S(=O)(=O)[O-])S(=O)(=O)[O-])S(=O)(=O)[O-])F)C(=O)NC6=C(C=CC(=C6)C(=O)NC7=C8C(=CC(=CC8=C(C=C7)S(=O)(=O)[O-])S(=O)(=O)[O-])S(=O)(=O)[O-])F.[Na+].[Na+].[Na+].[Na+].[Na+].[Na+],1000.0
71457339,C1=CC=C2C(=C1)N(C3=CC=CC=C3O2)C(=O)C4=CC=C(C=C4)Cl,5290.0
2320735,CC1=CC=C(C=C1)S(=O)(=O)N2C3=CC=CC=C3OC4=CC=CC=C42,1380.0
71457337,C1=CC=C(C=C1)CCNC(=O)N2C3=CC=CC=C3OC4=CC=CC=C42,1780.0
71459185,C1=CC=C(C=C1)CN2C3=CC=CC=C3C(C4=CC=CC=C42)(C5=CC=CC=C5)O,2440.0
71462708,C1=CC=C2C(=C1)N(C3=CC=CC=C3O2)C(=O)OCC4=CC=C(C=C4)Cl,1020.0
60168729,C1=CC=C(C=C1)COC(=O)N2C3=CC=CC=C3OC4=CC=CC=C42,189.0
71459189,CCCN(CCC)C(=O)N1C2=CC=CC=C2OC3=CC=CC=C31,2690.0
71455545,C1=CC=C(C=C1)CCOC(=O)N2C3=CC=CC=C3OC4=CC=CC=C42,3930.0
20438947,C1=CC=C(C=C1)C(=O)N2C3=CC=CC=C3OC4=CC=CC=C42,4110.0
71450181,COC1=CC=C(C=C1)COC(=O)N2C3=CC=CC=C3OC4=CC=CC=C42,2640.0
43815,C1CNCC(C1C2=CC=C(C=C2)F)COC3=CC4=C(C=C3)OCO4,1870.0
71450180,CC1=CC=C(C=C1)COC(=O)N2C3=CC=CC=C3OC4=CC=CC=C42,2280.0
71462707,CC(C)OC(=O)N1C2=CC=CC=C2OC3=CC=CC=C31,2350.0
148882,C1=CC=C(C=C1)CN2C3=CC=CC=C3C(=O)C4=CC=CC=C42,5970.0
13644344,C1=CC=C2C(=C1)N(C3=CC=CC=C3O2)C(=O)C4=CC=C(C=C4)[N+](=O)[O-],4290.0
9841560,C1C(=O)NC2=C(C(=N1)C3=CC(=CC=C3)Br)OC4=CC=CC=C42,500.0
71455548,CC1CCC(C(C1)OCC(=O)NC2=CC=CC=C2O)C(C)C,3390.0
10882078,C1=CC=C2C(=C1)C(=O)C3=CC=CC=C3N2CC4=CC=C(C=C4)[N+](=O)[O-],2490.0
71462710,C1=CC=C2C(=C1)N(C3=CC=CC=C3O2)C(=O)NCC4=CC=C(C=C4)Cl,9540.0
76324694,CCCN(CCC)C(=O)N1C2=CC=CC=C2C=CC3=CC=CC=C31,7780.0
76310107,C1=CC=C(C=C1)COC(=O)N2C3=CC=CC=C3C=CC4=CC=CC=C42,6020.0
73669299,CC(C)N(C(C)C)C(=O)N1C2=CC=CC=C2C=CC3=CC=CC=C31,3440.0
124125296,C1=CC(=CC(=C1)Cl)OC2=C(C=C(C=C2)NC(=O)CC3=C(C=CC=C3Cl)F)S(=O)(=O)N,9.0
124125420,C1=CC=C(C=C1)COC2=C(C=C(C=C2)NC(=O)CC3=CC=CC=C3Cl)S(=O)(=O)N,2.0
124125341,CC1=CC=CC=C1CC(=O)NC2=CC(=C(C=C2)OC3=CC(=CC=C3)Cl)S(=O)(=O)N,10.0
154731051,C1C(=O)NC2=C(C=CC3=CC=CC=C32)N(C1=O)C4=CC=CC(=C4)C5=NOC(=S)[N-]5.[Na+],260.0
155530831,C1C(=O)NC2=C(C=CC3=CC=CC=C32)N(C1=O)C4=CC=C(C=C4)NC(=O)CC5=CC=CC=C5I,430.0
124125214,C1=CC=C(C=C1)CC(=O)NC2=CC(=C(C=C2)OC3=CC(=CC=C3)Cl)S(=O)(=O)N,320.0
2810999,CC(C)C1=CC(=C(C(=C1)Br)NC(=O)NC2=CN=CC=C2)Br,780.0
